,Workload_Name,Frequency,Voltage,Core_Count,Actual,EPH_0x11:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x1b:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x50:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x14:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x19:Frequency_A15:Voltage_A15_Squared_Percentage
0,idle,200,0.917428571,1,0.102533543,2.923178741,0.79993725,0.271112152,2.277988102,0.037766486
1,basicmath,200,0.916755319,1,0.160325362,16.4340984,8.353318085,0.787928415,17.77022347,0.16682218
2,bitcount,200,0.916607143,1,0.158876129,17.49280841,12.37294999,0.198239661,15.20912046,0.033213809
3,qsort,200,0.916258865,1,0.161477014,16.93613594,8.860946439,0.609315798,16.11266601,0.473974154
4,susan,200,0.916285714,1,0.173214379,16.5451787,11.9701646,0.273640912,20.85325638,0.105550584
5,jpeg_enc,200,0.916507092,1,0.157842206,16.24419323,10.29490387,0.727661394,13.29489098,0.420864925
6,jpeg_dec,200,0.916902985,1,0.121654672,11.09869076,4.383998623,0.928555687,7.527836817,0.349871935
7,typeset,200,0.9163125,1,0.1637301,18.31223927,7.547585444,1.640457004,13.51039498,0.490848914
8,dijkstra,200,0.916322464,1,0.150869486,19.67364448,8.484616918,0.871425001,7.576762149,0.049550475
9,patricia,200,0.916338652,1,0.154139369,17.66133864,7.451978113,1.568873134,14.60999573,0.238074677
10,ispell,200,0.916453901,1,0.161244177,17.72503289,8.401175153,1.10242789,16.49309498,0.099886184
11,stringsearch,200,0.916879771,1,0.106264221,6.967353893,2.167629057,0.564938308,5.104020469,0.175008625
12,adpcm_c,200,0.916897482,1,0.149607345,17.34802261,8.241011134,1.289144311,15.19788977,0.484450495
13,adpcm_d,200,0.916751825,1,0.139752715,16.08648297,5.988359328,1.328194905,12.6754307,0.651575284
14,fft,200,0.916595745,1,0.15616839,17.7305818,8.287037504,0.404593117,17.10628313,0.117999422
15,h264_hq,200,0.916294643,1,0.175207071,18.07115867,8.75262485,1.525858788,16.72321604,1.37845391
16,h264_lq,200,0.916338652,1,0.170114752,17.48627439,8.489647383,1.599589357,15.52742505,1.583370061
17,mpeg4_hq,200,0.917113309,1,0.131482683,11.93280491,5.119598154,1.877269756,10.03485304,1.724478541
18,mpeg4_lq,200,0.916798561,1,0.128255755,11.00562497,4.78412274,1.698203381,9.305058733,1.287826902
19,jpg2000enc,200,0.9165625,1,0.175959957,16.87394274,11.99266175,1.350395332,16.06557137,2.024895218
20,dhrystone,200,0.916320922,1,0.162051213,18.33273184,10.09556614,0.188609765,13.92064059,0.038801055
21,neon_add,200,0.916050725,1,0.2405095,25.50408685,12.84201234,0.158059748,18.0759902,0.018702344
22,neon_mul,200,0.916455357,1,0.1733771,19.09337504,8.202651106,0.184045791,12.5829519,0.027772598
23,cstm_bmp,200,0.916923759,1,0.143577277,21.12907975,5.197974336,0.226722369,9.847678928,0.036023457
24,cstm_int,200,0.916666667,1,0.167896801,17.20725282,10.10711308,1.271782573,18.57200614,0.443443925
25,cstm_fp,200,0.916586879,1,0.172257809,16.9121916,10.86254195,0.738090119,19.37058282,0.514052443
26,lat_ctx_0_18,200,0.917071429,1,0.144971421,24.18469284,5.110419028,1.254007633,9.346122676,0.203781172
27,lat_ctx_500_18,200,0.916781915,1,0.157946348,22.45332368,5.689913456,2.694190191,9.000327358,4.014355977
28,lat_fs,200,0.916732143,1,0.14528475,20.87400157,5.086574907,1.265842625,12.78911872,0.242340689
29,lat_pagefault,200,0.916205986,1,0.240723641,30.42001241,8.016258246,3.318273591,21.14838485,0.090737469
30,lat_mem_rd_1_8,200,0.916914894,1,0.146477752,25.62178232,4.054611014,1.128519479,7.996575828,0.056311389
31,lat_mem_rd_1_256,200,0.917,1,0.129214571,23.11070335,2.455867695,2.132002186,3.546679987,0.045591128
32,lat_mem_rd_200_8,200,0.917276786,1,0.129729607,23.43521597,3.155976706,0.954135824,4.575742564,0.063442862
33,lat_mem_rd_200_256,200,0.916985816,1,0.129921057,22.95708047,2.685224073,2.221298359,4.126472704,0.06396243
34,lat_mem_rd_p4,200,0.916267606,1,0.211892754,44.33314223,5.843995989,0.277332252,6.919258764,0.028304676
35,lat_ops,200,0.916910714,1,0.140074621,21.52211315,6.687207434,0.470414487,10.04754574,0.074811384
36,lat_proc_fork,200,0.917008929,1,0.135413193,23.12064628,4.74080814,0.798363891,6.780022659,0.19374984
37,bw_mem_rd,200,0.916464286,1,0.1645089,17.50689001,4.619004237,5.109583918,8.684910145,11.94772962
38,bw_mem_wr,200,0.916375899,1,0.166602899,16.28502625,3.63285068,4.462212724,7.479899916,19.99621763
39,bw_mem_cp_200m,200,0.91625,1,0.168623079,16.85091764,3.704983797,4.787566629,8.146982016,16.07408316
40,bw_mem_cp_700m,200,0.91625,1,0.174104813,17.64059398,3.980937096,4.686849601,9.066710021,15.89453848
41,bw_mem_cp_2000m,200,0.91626773,1,0.140065567,22.73754657,4.708684856,0.790595795,5.622371291,1.302169181
42,tlb,200,0.916693262,1,0.127541851,22.79034652,3.235768663,0.314022298,4.036985992,0.082663766
43,line,200,0.9168125,1,0.141862921,21.13959181,5.219674697,1.145840313,6.157218303,3.708582696
44,cache,200,0.916755319,1,0.132000525,21.90752664,1.526057712,2.971693614,2.964260124,4.193931502
45,par_mem,200,0.916321942,1,0.165336468,19.28141524,1.830694549,7.684921698,2.889247225,7.975861769
46,gcc,200,0.916320922,1,0.156067468,18.10529715,6.708534806,1.834612687,15.39469124,1.132478969
47,tar,200,0.916347518,1,0.16994522,17.59985237,9.425971542,1.871928448,17.45455114,0.263283296
48,mpeg4_lq_mp,200,0.916494565,1,0.131614536,11.73104719,4.825076585,1.783405105,9.59855882,2.837975475
49,par_mem_mp,200,0.916365248,1,0.161996794,20.28348247,2.949098339,7.55594109,4.09282629,1.786108322
50,mp_bus_spd,200,0.915964286,1,0.256014214,27.9179947,11.09456092,5.203579695,14.67615435,3.767314941
51,mp_bus_spd2,200,0.9159375,1,0.269276921,26.82458715,10.39061197,5.086229025,17.15753359,4.81646991
52,mp_dhry,200,0.916879433,1,0.147133858,19.11096876,6.020422188,1.436572474,11.25091537,0.030639698
53,mp_mflops,200,0.916365248,1,0.166807248,26.5494998,9.442476676,0.730100217,1.92553079,1.379411835
54,mp_lp_neon,200,0.916294014,1,0.203274514,26.04101648,7.020680531,3.395407848,18.80744984,0.298172234
55,mp_neon_mflops,200,0.915857143,1,0.234264736,23.03046961,10.40092777,1.257433061,16.28584132,2.802403347
56,mp_randmem,200,0.915992908,1,0.216936801,23.8680626,9.210431839,4.127936313,16.8676833,0.464402144
57,mp_whets,200,0.915964286,1,0.235181271,29.37170957,11.2885126,0.183789949,18.86789285,0.024865966
58,openmp_mem_spd,200,0.915096831,1,0.34901838,31.77118049,21.15094918,3.838670358,6.887911822,4.849599887
59,openmp_mflops,200,0.914947183,1,0.405956718,28.07976489,15.5391067,1.719393177,22.00789576,3.815879445
60,idle,200,0.917235915,2,0.095724817,2.981706673,0.795855958,0.282773949,2.27101312,0.049810049
61,basicmath,200,0.915751812,2,0.209451348,21.52783669,11.13044681,0.994186571,23.51876243,0.15141024
62,bitcount,200,0.915583942,2,0.213102248,22.7891409,16.50323537,0.191643443,19.90764185,0.044022189
63,qsort,200,0.915477941,2,0.211211912,21.85872528,11.50711337,0.781123393,20.67397806,0.648796032
64,susan,200,0.915386691,2,0.217142626,19.64669084,14.63888012,0.26976163,25.26113894,0.093639751
65,jpeg_enc,200,0.915188849,2,0.229565115,22.5680688,14.74242848,0.960208099,18.39430099,0.610555666
66,jpeg_dec,200,0.916452206,2,0.153096713,18.86989517,7.398172855,1.712627166,12.04969961,0.444368621
67,typeset,200,0.915611314,2,0.224254971,24.5955344,10.16596963,2.191732282,17.88144909,0.785708265
68,dijkstra,200,0.915978261,2,0.203808051,27.95742081,12.04675756,1.260651594,10.52726647,0.05670483
69,patricia,200,0.915909926,2,0.210089875,24.0590483,10.29356304,2.104209992,19.91766847,0.276006422
70,ispell,200,0.916005435,2,0.223142239,23.96350481,10.97099815,1.668661842,21.70149475,0.245954523
71,stringsearch,200,0.916467803,2,0.118087091,11.89485153,3.746593721,1.012655696,8.413587982,0.24189276
72,adpcm_c,200,0.916151079,2,0.196113734,23.09139285,10.75878662,1.860639136,19.73144978,0.345444564
73,adpcm_d,200,0.916357143,2,0.176692393,23.31072684,7.779200307,2.249182704,16.74212063,0.475507632
74,fft,200,0.916185662,2,0.21378211,23.61121523,11.1361086,0.452542491,22.84224917,0.105424444
75,h264_hq,200,0.916168478,2,0.242522254,23.40656102,11.4272074,2.067868079,21.48555842,2.343789866
76,h264_lq,200,0.916098214,2,0.245513357,23.53833318,11.52664169,2.147612372,20.75408246,2.688173282
77,mpeg4_hq,200,0.916303957,2,0.170672252,17.10710885,7.25155713,2.734161458,13.87880873,3.687728046
78,mpeg4_lq,200,0.916348214,2,0.164397007,16.50170765,6.894406273,2.757752432,13.01090628,3.78410275
79,jpg2000enc,200,0.915253623,2,0.255819384,21.64929519,15.50915237,1.654812676,20.47148687,2.648311513
80,dhrystone,200,0.915374088,2,0.230253964,24.36138015,13.76890119,0.158276279,18.50775433,0.028962165
81,neon_add,200,0.915193662,2,0.380881887,31.47785667,16.11019977,0.119777744,22.30108503,0.013127141
82,neon_mul,200,0.915389493,2,0.252717638,25.68983807,11.22383427,0.160506927,16.84151538,0.021806323
83,cstm_bmp,200,0.916222826,2,0.19281258,29.74015649,7.193417497,0.214968488,13.30131351,0.031974754
84,cstm_int,200,0.916214029,2,0.237510921,22.33905952,13.50525268,1.524984366,24.55725727,0.581343706
85,cstm_fp,200,0.915634058,2,0.247420587,21.41258289,14.1641649,0.931791762,24.9479202,0.669364906
86,lat_ctx_0_18,200,0.916348214,2,0.162609286,27.71331278,5.705892781,1.304895959,9.477196608,0.196484279
87,lat_ctx_500_18,200,0.916330357,2,0.179864057,27.47910323,6.406150487,2.773438398,8.799760564,4.151631076
88,lat_fs,200,0.916375899,2,0.156188482,23.62802941,5.556219289,1.212034934,12.64740956,0.226990634
89,lat_pagefault,200,0.916003521,2,0.237965514,30.11055228,7.555281098,3.537580779,20.99911376,0.118417097
90,lat_mem_rd_1_8,200,0.916240942,2,0.166701957,33.98541899,4.266573001,1.126151413,5.211298879,0.048571437
91,lat_mem_rd_1_256,200,0.916331522,2,0.162216478,34.02551637,3.056821821,3.000110897,4.043401439,0.044642125
